COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Canada,CAN,AMRO,REPORTING,20-08-2021,52163987,27566591,138.211,73.039,24597396,65.172,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",14-12-2020,3
Cayman Islands,CYM,AMRO,REPORTING,20-08-2021,99635,50884,151.605,77.425,48751,74.18,Pfizer BioNTech - Comirnaty,15-01-2021,1
Central African Republic,CAF,AFRO,REPORTING,23-08-2021,95862,82083,1.985,1.7,13779,0.285,"Bharat - Covaxin,SII - Covishield",19-03-2021,2
Chad,TCD,AFRO,REPORTING,23-08-2021,39770,26820,0.242,0.163,12950,0.079,Beijing CNBG - BBIBP-CorV,04-06-2021,1
Chile,CHL,AMRO,REPORTING,20-08-2021,26500341,13589692,138.628,71.09,12724183,66.562,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",21-12-2020,4
China,CHN,WPRO,REPORTING,14-08-2021,1776816416,,120.766,,,,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",06-03-2021,6
Colombia,COL,AMRO,REPORTING,20-08-2021,32741710,21371871,64.347,42.002,14052941,27.618,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17-02-2021,5
Comoros,COM,AFRO,REPORTING,23-08-2021,239158,175038,27.502,20.129,64126,7.374,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",10-04-2021,3
Congo,COG,AFRO,REPORTING,23-08-2021,151538,77127,2.746,1.398,84204,1.526,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield",23-03-2021,4
Cook Islands,COK,WPRO,REPORTING,03-08-2021,21761,11416,123.895,64.997,10345,58.899,Pfizer BioNTech - Comirnaty,17-05-2021,1
Costa Rica,CRI,AMRO,REPORTING,20-08-2021,3848155,2948584,75.541,57.882,899571,17.659,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",24-12-2020,2
Côte d’Ivoire,CIV,AFRO,REPORTING,23-08-2021,1253234,1022558,4.751,3.877,230676,0.874,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",01-03-2021,3
Croatia,HRV,EURO,OWID,20-08-2021,3208101,1694827,79.053,41.763,1576504,38.848,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Cuba,CUB,AMRO,REPORTING,20-08-2021,12320691,4889081,108.776,43.165,4345825,38.368,"Abdala, Soberana02",,2
Curaçao,CUW,AMRO,REPORTING,20-08-2021,179915,94829,109.642,57.79,85086,51.852,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",24-02-2021,3
Cyprus,CYP,EURO,OWID,20-08-2021,1068962,564903,120.378,63.615,504059,56.763,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Czechia,CZE,EURO,OWID,21-08-2021,11201349,5873449,104.745,54.923,5511825,51.542,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
Democratic Republic of the Congo,COD,AFRO,REPORTING,23-08-2021,87910,82039,0.098,0.092,5871,0.007,SII - Covishield,19-04-2021,1
Denmark,DNK,EURO,OWID,20-08-2021,8314404,4364798,142.791,74.961,3996079,68.629,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,3
Djibouti,DJI,EMRO,REPORTING,17-08-2021,33709,18492,3.412,1.872,15217,1.54,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",15-03-2021,6
Dominica,DMA,AMRO,REPORTING,20-08-2021,41435,21548,57.556,29.932,19887,27.624,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",12-02-2021,4
Dominican Republic,DOM,AMRO,REPORTING,20-08-2021,10789568,5709646,99.462,52.634,4520504,41.672,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",16-02-2021,3
Ecuador,ECU,AMRO,REPORTING,20-08-2021,15879437,9971702,90.004,56.519,5919425,33.551,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",21-01-2021,4
Egypt,EGY,EMRO,REPORTING,16-08-2021,6477535,4319631,6.33,4.221,2157904,2.109,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24-01-2021,6
El Salvador,SLV,AMRO,REPORTING,20-08-2021,5509567,3324137,84.943,51.249,2185430,33.694,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17-02-2021,5
Equatorial Guinea,GNQ,AFRO,REPORTING,23-08-2021,329229,189524,23.466,13.509,139705,9.958,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",12-02-2021,2
Estonia,EST,EURO,OWID,20-08-2021,1231483,704822,92.664,53.035,526661,39.629,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4
